Predatory.behavior,carnivore_BM.kg,herbivore_BM.kg,Dietary.Guild,Substrate.Cat,scientificNameCarni,scientificNamePrey,RelationshipProbability
ambush,159,10.39786,browser,semi.arboreal,Panthera leo,Lophocebus sp.,0.322
ambush,159,102.5288,grazer,terrestrial,Panthera leo,Kobus ancystrocera,0.83
ambush,159,109.9097124,grazer,terrestrial,Panthera leo,Kobus ellipsiprymnus,0.83
ambush,159,128.268,grazer,terrestrial,Panthera leo,Oryx sp.,0.832
ambush,159,132.1330377,browser,terrestrial,Panthera leo,Giraffa pygmaea,0.234
ambush,159,133.2710467,grazer,terrestrial,Panthera leo,Connochaetes gentryi,0.832
ambush,159,159.0201973,browser,terrestrial,Panthera leo,Tragelaphus strepsiceros,0.232
ambush,159,167.0892479,mixed feeder,terrestrial,Panthera leo,Tragelaphus nakuae,0.538
ambush,159,18.47564,browser,semi.arboreal,Panthera leo,Paracolobus mutiwa,0.348
ambush,159,186.1955961,grazer,terrestrial,Panthera leo,Hippotragus gigas,0.83
ambush,159,21.65387575,browser,semi.arboreal,Panthera leo,Cercopithecoides kimeui,0.222
ambush,159,223.9939,browser,terrestrial,Panthera leo,Giraffa stillei-gracilis,0.234
ambush,159,224.3292,grazer,terrestrial,Panthera leo,Eurygnathohippus ethiopicum,0.83
ambush,159,23.6110847,browser,semi.arboreal,Panthera leo,Rhinocolobus turkanaensis,0.264
ambush,159,231.2908944,grazer,terrestrial,Panthera leo,Megalotragus isaaci,0.83
ambush,159,260.2536646,grazer,terrestrial,Panthera leo,Eurygnathohippus cornelianus,0.82
ambush,159,275.3058287,grazer,terrestrial,Panthera leo,Metridiochoerus modestus,0.772
ambush,159,275.7732912,grazer,terrestrial,Panthera leo,Pelorovis turkanensis,0.772
ambush,159,30.71047932,browser,semi.arboreal,Panthera leo,Cercopithecoides williamsi,0.286
ambush,159,307.4342098,grazer,terrestrial,Panthera leo,Eurygnathohippus hasumense,0.742
ambush,159,321.7111712,grazer,terrestrial,Panthera leo,Kolpochoerus limnetes,0.742
ambush,159,342.4805,grazer,semi.aquatic,Panthera leo,aff.Hippopotamus aethiopicus,0.672
ambush,159,3455.726179,browser,terrestrial,Panthera leo,Deinotherium bozasi,0.412
ambush,159,346.148887,browser,terrestrial,Panthera leo,Giraffa jumae,0.234
ambush,159,355.0173762,grazer,terrestrial,Panthera leo,Pelorovis oldowayensis,0.81
ambush,159,36.86083147,mixed feeder,terrestrial,Panthera leo,Antidorcas recki,0.41
ambush,159,378.8974598,grazer,terrestrial,Panthera leo,Equus koobiforensis,0.81
ambush,159,39.22960369,mixed feeder,terrestrial,Panthera leo,Gazella janenschi,0.41
ambush,159,39.87369,mixed feeder,terrestrial,Panthera leo,Gazella praethomsoni,0.41
ambush,159,41.54340301,mixed feeder,terrestrial,Panthera leo,Theropithecus brumpti,0.41
ambush,159,46.62301909,grazer,terrestrial,Panthera leo,Redunca sp.,0.686
ambush,159,538.231286,grazer,terrestrial,Panthera leo,Metridiochoerus hopwoodi,0.818
ambush,159,54.88472739,grazer,terrestrial,Panthera leo,Theropithecus oswaldi,0.64
ambush,159,56.21818506,grazer,terrestrial,Panthera leo,Kobus leche,0.636
ambush,159,567.031,grazer,terrestrial,Panthera leo,Notochoerus euilus/scotti,0.818
ambush,159,57.88258579,grazer,terrestrial,Panthera leo,Kobus kob,0.626
ambush,159,59.62460828,mixed feeder,terrestrial,Panthera leo,Aepyceros melampus,0.346
ambush,159,6.896869945,browser,arboreal,Panthera leo,Colobus freedmani,0.12
ambush,159,600.9485317,grazer,terrestrial,Panthera leo,Metridiochoerus andrewsi,0.818
ambush,159,695.3814794,mixed feeder,terrestrial,Panthera leo,Sivatherium maurusium,0.572
ambush,159,705.7447,grazer,semi.aquatic,Panthera leo,aff.Hippopotamus karumensis,0.696
ambush,159,7178.612708,mixed feeder,terrestrial,Panthera leo,Loxodonta adaurora,0.566
ambush,159,742.9456,mixed feeder,terrestrial,Panthera leo,Ceratotherium mauritanicum/simum,0.576
ambush,159,86.71985908,grazer,terrestrial,Panthera leo,Kobus sigmoidalis,0.842
ambush,159,89.7214,grazer,terrestrial,Panthera leo,Damaliscus eppsi,0.842
ambush,159,92.67248,grazer,terrestrial,Panthera leo,Beatragus antiquus,0.842
ambush,159,925.279333,browser,terrestrial,Panthera leo,Diceros bicornis,0.418
ambush,159,9320.381943,grazer,terrestrial,Panthera leo,Elephas recki,0.776
ambush,159,96.38324658,grazer,terrestrial,Panthera leo,Menelikia lyrocera,0.842
ambush,159,970.8538527,grazer,semi.aquatic,Panthera leo,Hippopotamus gorgops,0.708
ambush,199,10.39786,browser,semi.arboreal,Dinofelis aronoki,Lophocebus sp.,0.322
ambush,199,102.5288,grazer,terrestrial,Dinofelis aronoki,Kobus ancystrocera,0.83
ambush,199,109.9097124,grazer,terrestrial,Dinofelis aronoki,Kobus ellipsiprymnus,0.83
ambush,199,128.268,grazer,terrestrial,Dinofelis aronoki,Oryx sp.,0.832
ambush,199,132.1330377,browser,terrestrial,Dinofelis aronoki,Giraffa pygmaea,0.234
ambush,199,133.2710467,grazer,terrestrial,Dinofelis aronoki,Connochaetes gentryi,0.832
ambush,199,159.0201973,browser,terrestrial,Dinofelis aronoki,Tragelaphus strepsiceros,0.232
ambush,199,167.0892479,mixed feeder,terrestrial,Dinofelis aronoki,Tragelaphus nakuae,0.538
ambush,199,18.47564,browser,semi.arboreal,Dinofelis aronoki,Paracolobus mutiwa,0.348
ambush,199,186.1955961,grazer,terrestrial,Dinofelis aronoki,Hippotragus gigas,0.83
ambush,199,21.65387575,browser,semi.arboreal,Dinofelis aronoki,Cercopithecoides kimeui,0.222
ambush,199,223.9939,browser,terrestrial,Dinofelis aronoki,Giraffa stillei-gracilis,0.234
ambush,199,224.3292,grazer,terrestrial,Dinofelis aronoki,Eurygnathohippus ethiopicum,0.83
ambush,199,23.6110847,browser,semi.arboreal,Dinofelis aronoki,Rhinocolobus turkanaensis,0.264
ambush,199,231.2908944,grazer,terrestrial,Dinofelis aronoki,Megalotragus isaaci,0.83
ambush,199,260.2536646,grazer,terrestrial,Dinofelis aronoki,Eurygnathohippus cornelianus,0.82
ambush,199,275.3058287,grazer,terrestrial,Dinofelis aronoki,Metridiochoerus modestus,0.772
ambush,199,275.7732912,grazer,terrestrial,Dinofelis aronoki,Pelorovis turkanensis,0.772
ambush,199,30.71047932,browser,semi.arboreal,Dinofelis aronoki,Cercopithecoides williamsi,0.286
ambush,199,307.4342098,grazer,terrestrial,Dinofelis aronoki,Eurygnathohippus hasumense,0.742
ambush,199,321.7111712,grazer,terrestrial,Dinofelis aronoki,Kolpochoerus limnetes,0.742
ambush,199,342.4805,grazer,semi.aquatic,Dinofelis aronoki,aff.Hippopotamus aethiopicus,0.672
ambush,199,3455.726179,browser,terrestrial,Dinofelis aronoki,Deinotherium bozasi,0.412
ambush,199,346.148887,browser,terrestrial,Dinofelis aronoki,Giraffa jumae,0.234
ambush,199,355.0173762,grazer,terrestrial,Dinofelis aronoki,Pelorovis oldowayensis,0.81
ambush,199,36.86083147,mixed feeder,terrestrial,Dinofelis aronoki,Antidorcas recki,0.41
ambush,199,378.8974598,grazer,terrestrial,Dinofelis aronoki,Equus koobiforensis,0.81
ambush,199,39.22960369,mixed feeder,terrestrial,Dinofelis aronoki,Gazella janenschi,0.41
ambush,199,39.87369,mixed feeder,terrestrial,Dinofelis aronoki,Gazella praethomsoni,0.41
ambush,199,41.54340301,mixed feeder,terrestrial,Dinofelis aronoki,Theropithecus brumpti,0.41
ambush,199,46.62301909,grazer,terrestrial,Dinofelis aronoki,Redunca sp.,0.686
ambush,199,538.231286,grazer,terrestrial,Dinofelis aronoki,Metridiochoerus hopwoodi,0.818
ambush,199,54.88472739,grazer,terrestrial,Dinofelis aronoki,Theropithecus oswaldi,0.64
ambush,199,56.21818506,grazer,terrestrial,Dinofelis aronoki,Kobus leche,0.636
ambush,199,567.031,grazer,terrestrial,Dinofelis aronoki,Notochoerus euilus/scotti,0.818
ambush,199,57.88258579,grazer,terrestrial,Dinofelis aronoki,Kobus kob,0.626
ambush,199,59.62460828,mixed feeder,terrestrial,Dinofelis aronoki,Aepyceros melampus,0.346
ambush,199,6.896869945,browser,arboreal,Dinofelis aronoki,Colobus freedmani,0.12
ambush,199,600.9485317,grazer,terrestrial,Dinofelis aronoki,Metridiochoerus andrewsi,0.818
ambush,199,695.3814794,mixed feeder,terrestrial,Dinofelis aronoki,Sivatherium maurusium,0.572
ambush,199,705.7447,grazer,semi.aquatic,Dinofelis aronoki,aff.Hippopotamus karumensis,0.696
ambush,199,7178.612708,mixed feeder,terrestrial,Dinofelis aronoki,Loxodonta adaurora,0.566
ambush,199,742.9456,mixed feeder,terrestrial,Dinofelis aronoki,Ceratotherium mauritanicum/simum,0.576
ambush,199,86.71985908,grazer,terrestrial,Dinofelis aronoki,Kobus sigmoidalis,0.842
ambush,199,89.7214,grazer,terrestrial,Dinofelis aronoki,Damaliscus eppsi,0.842
ambush,199,92.67248,grazer,terrestrial,Dinofelis aronoki,Beatragus antiquus,0.842
ambush,199,925.279333,browser,terrestrial,Dinofelis aronoki,Diceros bicornis,0.418
ambush,199,9320.381943,grazer,terrestrial,Dinofelis aronoki,Elephas recki,0.776
ambush,199,96.38324658,grazer,terrestrial,Dinofelis aronoki,Menelikia lyrocera,0.842
ambush,199,970.8538527,grazer,semi.aquatic,Dinofelis aronoki,Hippopotamus gorgops,0.708
ambush,52,10.39786,browser,semi.arboreal,Megantereon sp.,Lophocebus sp.,0.918
ambush,52,10.39786,browser,semi.arboreal,Panthera pardus,Lophocebus sp.,0.918
ambush,52,102.5288,grazer,terrestrial,Panthera pardus,Kobus ancystrocera,0.82
ambush,52,102.5288,grazer,terrestrial,Megantereon sp.,Kobus ancystrocera,0.82
ambush,52,109.9097124,grazer,terrestrial,Megantereon sp.,Kobus ellipsiprymnus,0.82
ambush,52,109.9097124,grazer,terrestrial,Panthera pardus,Kobus ellipsiprymnus,0.82
